사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20200310,중앙선,지평,31,17,20200313
20200310,중앙선,용문,1009,1055,20200313
20200310,중앙선,원덕,167,170,20200313
20200310,중앙선,양평,1615,1581,20200313
20200310,중앙선,오빈,180,153,20200313
20200310,중앙선,아신,352,326,20200313
20200310,중앙선,국수,397,393,20200313
20200310,중앙선,신원,90,88,20200313
20200310,중앙선,양수,1018,1083,20200313
20200310,중앙선,운길산,354,325,20200313
20200310,중앙선,팔당,461,455,20200313
20200310,중앙선,도심,1996,1556,20200313
20200310,중앙선,덕소,4310,4279,20200313
20200310,중앙선,양정,642,554,20200313
20200310,중앙선,도농,7556,6831,20200313
20200310,중앙선,구리,10431,10631,20200313
20200310,중앙선,양원,1032,990,20200313
20200310,중앙선,망우,5595,5463,20200313
20200310,중앙선,상봉(시외버스터미널),4378,4257,20200313
20200310,중앙선,중랑,4288,4213,20200313
20200310,중앙선,회기,16471,16020,20200313
20200310,장항선,신창(순천향대),498,511,20200313
20200310,장항선,온양온천,1660,1756,20200313
20200310,장항선,배방,487,439,20200313
20200310,장항선,아산,1173,1091,20200313
20200310,장항선,쌍용(나사렛대),961,908,20200313
20200310,장항선,봉명,719,681,20200313
20200310,일산선,대화,10527,8016,20200313
20200310,일산선,주엽,6056,6275,20200313
20200310,일산선,정발산,4972,5183,20200313
20200310,일산선,마두,5340,5632,20200313
20200310,일산선,백석,7834,7961,20200313
20200310,일산선,대곡,1256,951,20200313
20200310,일산선,화정,12782,13245,20200313
20200310,일산선,원당,8388,8142,20200313
20200310,일산선,삼송,13139,12677,20200313
20200310,일산선,원흥,7002,6579,20200313
20200310,우이신설선,신설동,1687,1685,20200313
20200310,우이신설선,보문,1146,1146,20200313
20200310,우이신설선,성신여대입구(돈암),2293,2616,20200313
20200310,우이신설선,정릉,3195,3089,20200313
20200310,우이신설선,북한산보국문,4216,4139,20200313
20200310,우이신설선,솔샘,4272,3949,20200313
20200310,우이신설선,삼양사거리,1728,1783,20200313
20200310,우이신설선,삼양,1476,1602,20200313
20200310,우이신설선,화계,2437,2248,20200313
20200310,우이신설선,가오리,2977,3070,20200313
20200310,우이신설선,4.19민주묘지,1827,1815,20200313
20200310,우이신설선,솔밭공원,1712,1693,20200313
20200310,우이신설선,북한산우이,1585,1319,20200313
20200310,안산선,수리산,3262,2591,20200313
20200310,안산선,오이도,6391,6104,20200313
20200310,안산선,정왕,4816,5275,20200313
20200310,안산선,신길온천,1117,973,20200313
20200310,안산선,안산,9255,7945,20200313
20200310,안산선,초지,3086,3028,20200313
20200310,안산선,고잔,6117,5930,20200313
20200310,안산선,중앙,11038,11525,20200313
20200310,안산선,한대앞,5401,5331,20200313
20200310,안산선,상록수,13893,13792,20200313
20200310,안산선,반월,3147,2952,20200313
20200310,안산선,대야미,3738,3328,20200313
20200310,안산선,산본,12697,13490,20200313
20200310,수인선,인천,535,942,20200313
20200310,수인선,신포,1057,1145,20200313
20200310,수인선,숭의,2783,2554,20200313
20200310,수인선,인하대,3668,3498,20200313
20200310,수인선,송도,1637,1470,20200313
20200310,수인선,연수,3128,3213,20200313
20200310,수인선,원인재,3112,3123,20200313
20200310,수인선,남동인더스파크,2020,2249,20200313
20200310,수인선,호구포,2877,2883,20200313
20200310,수인선,인천논현,4154,4290,20200313
20200310,수인선,소래포구,2743,2556,20200313
20200310,수인선,월곶,1621,1567,20200313
20200310,수인선,달월,68,40,20200313
20200310,분당선,매교,1608,1581,20200313
20200310,분당선,수원시청,7817,8561,20200313
20200310,분당선,매탄권선,3053,2935,20200313
20200310,분당선,망포,9719,9363,20200313
20200310,분당선,영통,5153,5329,20200313
20200310,분당선,청명,2797,2617,20200313
20200310,분당선,상갈,3742,3472,20200313
20200310,분당선,기흥,6723,6422,20200313
20200310,분당선,신갈,3148,3082,20200313
20200310,분당선,구성,3317,3370,20200313
20200310,분당선,죽전,9002,9781,20200313
20200310,분당선,보정,1621,1338,20200313
20200310,분당선,이매,3505,3361,20200313
20200310,분당선,오리,8849,7390,20200313
20200310,분당선,미금,10818,11609,20200313
20200310,분당선,정자,11482,12297,20200313
20200310,분당선,수내,9035,9200,20200313
20200310,분당선,서현,16801,16847,20200313
20200310,분당선,야탑,18468,19269,20200313
20200310,분당선,모란,14943,14894,20200313
20200310,분당선,태평,10562,10277,20200313
20200310,분당선,가천대,4604,5552,20200313
20200310,분당선,선정릉,6914,7320,20200313
20200310,분당선,강남구청,7465,8629,20200313
20200310,분당선,압구정로데오,12704,14208,20200313
20200310,분당선,서울숲,6743,6839,20200313
20200310,분당선,수원,5450,3749,20200313
20200310,분당선,복정,1,0,20200313
20200310,분당선,수서,8948,9104,20200313
20200310,분당선,대모산입구,2511,2308,20200313
20200310,분당선,개포동,2341,2498,20200313
20200310,분당선,구룡,936,955,20200313
20200310,분당선,도곡,4631,4763,20200313
20200310,분당선,한티,9366,9999,20200313
20200310,분당선,선릉,11138,17210,20200313
20200310,과천선,범계,19365,18763,20200313
20200310,과천선,평촌,14557,14568,20200313
20200310,과천선,인덕원,18486,19388,20200313
20200310,과천선,정부과천청사,6753,6683,20200313
20200310,과천선,과천,3362,3098,20200313
20200310,과천선,대공원,793,920,20200313
20200310,과천선,경마공원,701,690,20200313
20200310,과천선,선바위,6867,6073,20200313
20200310,공항철도 1호선,영종,1935,1895,20200313
20200310,공항철도 1호선,인천공항2터미널,2204,1911,20200313
20200310,공항철도 1호선,인천공항1터미널,3765,3767,20200313
20200310,공항철도 1호선,공항화물청사,2285,2409,20200313
20200310,공항철도 1호선,운서,5117,5115,20200313
20200310,공항철도 1호선,청라국제도시,4893,4539,20200313
20200310,공항철도 1호선,검암,6012,5816,20200313
20200310,공항철도 1호선,계양,7408,6759,20200313
20200310,공항철도 1호선,김포공항,4872,3546,20200313
20200310,공항철도 1호선,마곡나루,5787,5235,20200313
20200310,공항철도 1호선,디지털미디어시티,10654,9802,20200313
20200310,공항철도 1호선,홍대입구,5429,5654,20200313
20200310,공항철도 1호선,공덕,1698,2124,20200313
20200310,공항철도 1호선,서울역,3872,3738,20200313
20200310,경춘선,춘천,670,629,20200313
20200310,경춘선,남춘천,1228,1339,20200313
20200310,경춘선,김유정,124,113,20200313
20200310,경춘선,강촌,147,140,20200313
20200310,경춘선,백양리,36,26,20200313
20200310,경춘선,굴봉산,50,49,20200313
20200310,경춘선,가평,798,790,20200313
20200310,경춘선,상천,117,115,20200313
20200310,경춘선,청평,827,785,20200313
20200310,경춘선,대성리,267,235,20200313
20200310,경춘선,마석,2387,2376,20200313
20200310,경춘선,천마산,1009,930,20200313
20200310,경춘선,평내호평,3974,3958,20200313
20200310,경춘선,금곡,1136,1016,20200313
20200310,경춘선,사릉,2529,2501,20200313
20200310,경춘선,퇴계원,2798,2552,20200313
20200310,경춘선,별내,1798,1753,20200313
20200310,경춘선,갈매,2257,1968,20200313
20200310,경춘선,신내,954,977,20200313
20200310,경인선,도화,2823,2478,20200313
20200310,경인선,중동,7103,6668,20200313
20200310,경인선,온수(성공회대입구),4768,4693,20200313
20200310,경인선,도원,1903,1967,20200313
20200310,경인선,간석,4536,4320,20200313
20200310,경인선,부개,6577,6228,20200313
20200310,경인선,소사,7222,6934,20200313
20200310,경인선,구일,4723,4826,20200313
20200310,경인선,인천,2004,1414,20200313
20200310,경인선,동인천,10619,10026,20200313
20200310,경인선,제물포,7265,6833,20200313
20200310,경인선,주안,14976,13648,20200313
20200310,경인선,동암,12112,12161,20200313
20200310,경인선,백운,5463,5409,20200313
20200310,경인선,부평,21736,22458,20200313
20200310,경인선,송내,23577,23380,20200313
20200310,경인선,부천,25755,25661,20200313
20200310,경인선,역곡,21572,21250,20200313
20200310,경인선,오류동,9128,8676,20200313
20200310,경인선,개봉,16382,16592,20200313
20200310,경의선,문산,3471,3365,20200313
20200310,경의선,파주,768,557,20200313
20200310,경의선,월롱,1542,1451,20200313
20200310,경의선,금촌,4580,4468,20200313
20200310,경의선,금릉,3341,3242,20200313
20200310,경의선,운정,4454,4118,20200313
20200310,경의선,야당,4113,3949,20200313
20200310,경의선,탄현,5621,5475,20200313
20200310,경의선,일산,6526,6624,20200313
20200310,경의선,풍산,3827,3513,20200313
20200310,경의선,백마,5124,4840,20200313
20200310,경의선,곡산,382,408,20200313
20200310,경의선,능곡,2698,2435,20200313
20200310,경의선,행신,5675,5474,20200313
20200310,경의선,강매,2252,1937,20200313
20200310,경의선,화전,1018,935,20200313
20200310,경의선,수색,1776,1851,20200313
20200310,경의선,디지털미디어시티,1634,1542,20200313
20200310,경의선,가좌,3843,3526,20200313
20200310,경의선,홍대입구,1088,1214,20200313
20200310,경의선,서강대,1402,1367,20200313
20200310,경의선,공덕,2731,2311,20200313
20200310,경의선,효창공원앞,2217,2566,20200313
20200310,경의선,신촌,589,687,20200313
20200310,경의선,서울역,3018,3886,20200313
20200310,경원선,소요산,1336,1067,20200313
20200310,경원선,동두천,1377,1596,20200313
20200310,경원선,보산,1101,980,20200313
20200310,경원선,동두천중앙,2241,2240,20200313
20200310,경원선,지행,4578,4498,20200313
20200310,경원선,덕정,4211,4163,20200313
20200310,경원선,덕계,1764,1559,20200313
20200310,경원선,양주,5865,5528,20200313
20200310,경원선,녹양,3545,3407,20200313
20200310,경원선,가능,4896,4793,20200313
20200310,경원선,의정부,13323,13534,20200313
20200310,경원선,회룡,9022,8637,20200313
20200310,경원선,망월사,5305,5415,20200313
20200310,경원선,도봉산,4708,2516,20200313
20200310,경원선,도봉,4532,4238,20200313
20200310,경원선,방학,7226,7047,20200313
20200310,경원선,녹천,3660,3071,20200313
20200310,경원선,월계,4253,4113,20200313
20200310,경원선,광운대,6332,5816,20200313
20200310,경원선,석계,6463,7380,20200313
20200310,경원선,신이문,6811,6190,20200313
20200310,경원선,외대앞,5550,5448,20200313
20200310,경원선,청량리(서울시립대입구),8551,9416,20200313
20200310,경원선,왕십리(성동구청),10219,11610,20200313
20200310,경원선,응봉,1258,1054,20200313
20200310,경원선,옥수,34,18,20200313
20200310,경원선,한남,3224,3089,20200313
20200310,경원선,서빙고,1342,1135,20200313
20200310,경원선,이촌(국립중앙박물관),2532,1976,20200313
20200310,경부선,광명,1876,1735,20200313
20200310,경부선,서동탄,1179,922,20200313
20200310,경부선,당정,4631,4563,20200313
20200310,경부선,천안,2363,2376,20200313
20200310,경부선,두정,2500,2506,20200313
20200310,경부선,직산,396,417,20200313
20200310,경부선,성환,1863,1805,20200313
20200310,경부선,평택,6776,6598,20200313
20200310,경부선,지제,1482,1423,20200313
20200310,경부선,서정리,3563,3514,20200313
20200310,경부선,송탄,2532,2436,20200313
20200310,경부선,진위,1104,972,20200313
20200310,경부선,오산,6034,6144,20200313
20200310,경부선,오산대,1904,1672,20200313
20200310,경부선,세마,1661,1552,20200313
20200310,경부선,병점,9273,9108,20200313
20200310,경부선,세류,2202,2018,20200313
20200310,경부선,독산,14108,14712,20200313
20200310,경부선,수원,21529,23280,20200313
20200310,경부선,화서,5446,5116,20200313
20200310,경부선,성균관대,9903,9784,20200313
20200310,경부선,의왕,6818,6779,20200313
20200310,경부선,군포,6009,6128,20200313
20200310,경부선,금정,20052,20501,20200313
20200310,경부선,명학,7456,7347,20200313
20200310,경부선,안양,15891,15865,20200313
20200310,경부선,관악,5435,5005,20200313
20200310,경부선,석수,7873,6827,20200313
20200310,경부선,금천구청,8847,8937,20200313
20200310,경부선,가산디지털단지,14703,16996,20200313
20200310,경부선,구로,13615,13855,20200313
20200310,경부선,신길,7111,6014,20200313
20200310,경부선,신도림,2924,2784,20200313
20200310,경부선,영등포,27017,28233,20200313
20200310,경부선,대방,10289,10536,20200313
20200310,경부선,노량진,5787,6107,20200313
20200310,경부선,용산,21980,22701,20200313
20200310,경부선,남영,7628,8058,20200313
20200310,경부선,서울역,2152,793,20200313
20200310,경강선,여주,1042,1001,20200313
20200310,경강선,세종대왕릉,145,134,20200313
20200310,경강선,부발,1032,1037,20200313
20200310,경강선,이천,1512,1564,20200313
20200310,경강선,신둔도예촌,712,686,20200313
20200310,경강선,곤지암,1187,1222,20200313
20200310,경강선,초월,1780,1875,20200313
20200310,경강선,경기광주,4769,4533,20200313
20200310,경강선,삼동,1706,1543,20200313
20200310,경강선,이매,679,599,20200313
20200310,경강선,판교,3190,3065,20200313
20200310,9호선2~3단계,중앙보훈병원,7347,6673,20200313
20200310,9호선2~3단계,둔촌오륜,618,598,20200313
20200310,9호선2~3단계,올림픽공원(한국체대),3601,3477,20200313
20200310,9호선2~3단계,한성백제,1658,1494,20200313
20200310,9호선2~3단계,송파나루,3272,3502,20200313
20200310,9호선2~3단계,석촌,5426,4770,20200313
20200310,9호선2~3단계,석촌고분,4323,4392,20200313
20200310,9호선2~3단계,삼전,4996,4903,20200313
20200310,9호선2~3단계,종합운동장,3346,3231,20200313
20200310,9호선2~3단계,봉은사,11477,11596,20200313
20200310,9호선2~3단계,삼성중앙,5293,5504,20200313
20200310,9호선2~3단계,선정릉,7324,7906,20200313
20200310,9호선2~3단계,언주,7995,8094,20200313
20200310,9호선,신논현,24588,24829,20200313
20200310,9호선,사평,2085,2075,20200313
20200310,9호선,고속터미널,6902,8677,20200313
20200310,9호선,신반포,1871,1920,20200313
20200310,9호선,구반포,1877,1963,20200313
20200310,9호선,동작(현충원),1328,1025,20200313
20200310,9호선,흑석(중앙대입구),5484,5947,20200313
20200310,9호선,노들,3285,2895,20200313
20200310,9호선,노량진,18512,18012,20200313
20200310,9호선,샛강,4247,4433,20200313
20200310,9호선,여의도,18908,18295,20200313
20200310,9호선,국회의사당,13598,13620,20200313
20200310,9호선,당산,14269,14142,20200313
20200310,9호선,선유도,5869,5609,20200313
20200310,9호선,신목동,2831,2587,20200313
20200310,9호선,염창,13297,13244,20200313
20200310,9호선,등촌,8178,8304,20200313
20200310,9호선,증미,5700,5839,20200313
20200310,9호선,가양,16132,15729,20200313
20200310,9호선,양천향교,7096,7410,20200313
20200310,9호선,마곡나루,8139,8169,20200313
20200310,9호선,신방화,5330,5197,20200313
20200310,9호선,공항시장,2305,2569,20200313
20200310,9호선,김포공항,4569,5788,20200313
20200310,9호선,개화,2059,1433,20200313
20200310,8호선,모란,3090,2229,20200313
20200310,8호선,수진,3869,3525,20200313
20200310,8호선,신흥,3472,3707,20200313
20200310,8호선,단대오거리,8166,8028,20200313
20200310,8호선,남한산성입구(성남법원.검찰청),10629,9634,20200313
20200310,8호선,산성,4029,3987,20200313
20200310,8호선,복정,7981,6802,20200313
20200310,8호선,장지,13435,12964,20200313
