Date,Surf
2019-03-01,0.36489
2019-03-02,0.4625
2019-03-03,0.59334
2019-03-04,1.96118
2019-03-05,8.60303
2019-03-06,3.20861
2019-03-07,1.30244
2019-03-08,0.51256
2019-03-09,0.32361
2019-03-10,0.38058
2019-03-11,0.40433
2019-03-12,0.43953
2019-03-13,0.26544
2019-03-14,0.22015
2019-03-15,0.2047
2019-03-16,0.16472
2019-03-17,0.17785
2019-03-18,0.23095
2019-03-19,0.29043
2019-03-20,0.37408
2019-03-21,0.22099
2019-03-22,0.18394
2019-03-23,0.14533
2019-03-24,0.15685
2019-03-25,0.21872
2019-03-26,0.24336
2019-03-27,0.30422
2019-03-28,0.29294
2019-03-29,0.17791
2019-03-30,0.13585
2019-03-31,0.15637
2019-04-01,0.16944
2019-04-02,0.17218
2019-04-03,0.15828
2019-04-04,0.14724
2019-04-05,0.14366
2019-04-06,0.12332
2019-04-07,0.12815
2019-04-08,0.1414
2019-04-09,0.14253
2019-04-10,0.13418
2019-04-11,0.17648
2019-04-12,0.15297
2019-04-13,1.00717
2019-04-14,0.12666
2019-04-15,0.13973
2019-04-16,0.13871
2019-04-17,0.1331
2019-04-18,0.12779
2019-04-19,0.11127
2019-04-20,0.09522
2019-04-21,0.10333
2019-04-22,0.12732
2019-04-23,0.13794
2019-04-24,0.11276
2019-04-25,0.1056
2019-04-26,0.08579
2019-04-27,0.07577
2019-04-28,0.08317
2019-04-29,0.09826
2019-04-30,0.09015
2019-05-01,0.09892
2019-05-02,0.11419
2019-05-03,0.10059
2019-05-04,0.09713
2019-05-05,0.09408
2019-05-06,0.10059
2019-05-07,0.11288
2019-05-08,0.11658
2019-05-09,0.12708
2019-05-10,0.11407
2019-05-11,0.09504
2019-05-12,0.0988
2019-05-13,0.12284
2019-05-14,0.11902
2019-05-15,0.1235
2019-05-16,0.11938
2019-05-17,0.10458
2019-05-18,0.08913
2019-05-19,0.08263
2019-05-20,0.10154
2019-05-21,0.11192
2019-05-22,0.10972
2019-05-23,0.10548
2019-05-24,1.12774
2019-05-25,0.09701
2019-05-26,0.08126
2019-05-27,0.09713
2019-05-28,0.09301
2019-05-29,0.08567
2019-05-30,0.08627
2019-05-31,0.07965
2019-06-01,0.06771
2019-06-02,0.07702
2019-06-03,0.09277
2019-06-04,0.08848
2019-06-05,0.08072
2019-06-06,0.07022
2019-06-07,0.07064
2019-06-08,0.06908
2019-06-09,0.07571
2019-06-10,0.07923
2019-06-11,0.07744
2019-06-12,0.07982
2019-06-13,0.08442
2019-06-14,0.07326
2019-06-15,0.06145
2019-06-16,0.06944
2019-06-17,0.08006
2019-06-18,0.08132
2019-06-19,0.07517
2019-06-20,0.0735
2019-06-21,0.07457
2019-06-22,0.05906
2019-06-23,0.0658
2019-06-24,0.07708
2019-06-25,0.07803
2019-06-26,0.07052
2019-06-27,0.0664
2019-06-28,0.06175
