Date,Surf
2019-03-01,0.52478
2019-03-02,0.41649
2019-03-03,0.5581
2019-03-04,0.51645
2019-03-05,0.68304
2019-03-06,0.54977
2019-03-07,0.64972
2019-03-08,0.45814
2019-03-09,0.62473
2019-03-10,0.6997
2019-03-11,1.0329
2019-03-12,1.46605
2019-03-13,1.14952
2019-03-14,1.10787
2019-03-15,0.783
2019-03-16,0.53311
2019-03-17,0.63306
2019-03-18,0.69137
2019-03-19,0.74135
2019-03-20,0.80799
2019-03-21,0.98292
2019-03-22,0.54144
2019-03-23,0.52478
2019-03-24,0.71636
2019-03-25,1.18284
2019-03-26,0.77467
2019-03-27,0.90795
2019-03-28,0.74968
2019-03-29,0.57476
2019-03-30,0.32486
2019-03-31,0.54977
2019-04-01,0.66638
2019-04-02,0.93294
2019-04-03,2.29904
2019-04-04,2.48229
2019-04-05,1.26613
2019-04-06,0.93294
2019-04-07,0.79966
2019-04-08,0.84964
2019-04-09,1.34943
2019-04-10,0.79133
2019-04-11,0.88296
2019-04-12,0.73302
2019-04-13,0.72469
2019-04-14,0.69137
2019-04-15,0.87463
2019-04-16,1.00791
2019-04-17,0.84964
2019-04-18,0.65805
2019-04-19,0.54144
2019-04-20,0.46647
2019-04-21,0.49146
2019-04-22,0.40816
2019-04-23,0.69137
2019-04-24,0.72469
2019-04-25,0.54977
2019-04-26,0.56643
2019-04-27,0.46647
2019-04-28,0.52478
2019-04-29,1.01624
2019-04-30,0.94127
2019-05-01,0.69137
2019-05-02,0.64139
2019-05-03,0.54144
2019-05-04,0.39983
2019-05-05,0.37484
2019-05-06,0.51645
2019-05-07,0.75801
2019-05-08,0.73302
2019-05-09,0.6164
2019-05-10,0.49979
2019-05-11,0.39983
2019-05-12,0.70803
2019-05-13,0.70803
2019-05-14,0.53311
2019-05-15,0.87463
2019-05-16,0.69137
2019-05-17,0.63306
2019-05-18,0.33319
2019-05-19,0.65805
2019-05-20,0.89962
2019-05-21,1.02457
2019-05-22,1.07455
2019-05-23,0.99958
2019-05-24,0.95793
2019-05-25,0.60807
2019-05-26,0.73302
2019-05-27,0.85797
2019-05-28,1.07455
2019-05-29,0.84131
2019-05-30,0.8663
2019-05-31,0.783
2019-06-01,0.59142
2019-06-02,0.6997
2019-06-03,0.73302
2019-06-04,0.56643
2019-06-05,0.64139
2019-06-06,0.69137
2019-06-07,0.69137
2019-06-08,0.39983
2019-06-09,0.57476
2019-06-10,0.62473
2019-06-11,0.75801
2019-06-12,1.41607
2019-06-13,0.81632
2019-06-14,0.85797
2019-06-15,0.51645
2019-06-16,0.84131
2019-06-17,0.88296
2019-06-18,1.10787
2019-06-19,0.87463
2019-06-20,0.66638
2019-06-21,0.66638
2019-06-22,0.44148
2019-06-23,0.48313
2019-06-24,0.54977
2019-06-25,0.57476
2019-06-26,0.49979
2019-06-27,0.54977
2019-06-28,0.4748
2019-06-29,0.36651
2019-06-30,0.4748
2019-07-01,1.47438
2019-07-02,5.95585
2019-07-03,14.25239
2019-07-04,67.10537
2019-07-05,87.31361
2019-07-06,76.16826
2019-07-07,48.75468
2019-07-08,48.98792
2019-07-09,49.62932
2019-07-10,40.56643
2019-07-11,33.4194
2019-07-12,33.35276
2019-07-13,38.65889
2019-07-14,45.98917
2019-07-15,53.70262
2019-07-16,100.0
2019-07-17,97.19283
2019-07-18,97.81757
2019-07-19,79.45022
2019-07-20,66.43898
