Date,Surf
2019-03-01,0.09863
2019-03-02,0.09333
2019-03-03,0.10466
2019-03-04,0.08927
2019-03-05,0.08289
2019-03-06,0.08473
2019-03-07,0.08266
2019-03-08,0.08943
2019-03-09,0.09101
2019-03-10,0.12998
2019-03-11,0.09594
2019-03-12,0.0951
2019-03-13,0.09167
2019-03-14,0.11687
2019-03-15,0.0948
2019-03-16,0.0753
2019-03-17,0.08771
2019-03-18,0.07759
2019-03-19,0.08963
2019-03-20,0.08069
2019-03-21,0.07974
2019-03-22,0.07608
2019-03-23,0.07647
2019-03-24,0.10069
2019-03-25,0.08713
2019-03-26,0.08588
2019-03-27,0.09656
2019-03-28,0.10642
2019-03-29,0.09131
2019-03-30,0.11511
2019-03-31,0.0988
2019-04-01,0.09265
2019-04-02,0.08733
2019-04-03,0.08907
2019-04-04,0.09298
2019-04-05,0.0943
2019-04-06,0.08891
2019-04-07,0.08876
2019-04-08,0.09342
2019-04-09,0.10588
2019-04-10,0.11294
2019-04-11,0.13752
2019-04-12,0.09878
2019-04-13,0.09242
2019-04-14,0.08902
2019-04-15,0.09048
2019-04-16,0.08542
2019-04-17,0.14299
2019-04-18,0.07834
2019-04-19,0.07897
2019-04-20,0.07935
2019-04-21,0.08776
2019-04-22,0.08288
2019-04-23,0.08815
2019-04-24,0.07815
2019-04-25,0.07417
2019-04-26,0.06375
2019-04-27,0.05799
2019-04-28,0.05763
2019-04-29,0.06502
2019-04-30,0.06484
2019-05-01,0.07019
2019-05-02,0.08196
2019-05-03,0.0757
2019-05-04,0.07266
2019-05-05,0.071
2019-05-06,0.06045
2019-05-07,0.06714
2019-05-08,0.07967
2019-05-09,0.07295
2019-05-10,0.07271
2019-05-11,0.06901
2019-05-12,0.07443
2019-05-13,0.08031
2019-05-14,0.09922
2019-05-15,0.08979
2019-05-16,0.08197
2019-05-17,0.09027
2019-05-18,0.08278
2019-05-19,0.10611
2019-05-20,0.08886
2019-05-21,0.09101
2019-05-22,0.0904
2019-05-23,0.08265
2019-05-24,0.07923
2019-05-25,0.08945
2019-05-26,0.07951
2019-05-27,0.08631
2019-05-28,0.07274
2019-05-29,0.09609
2019-05-30,0.08961
2019-05-31,0.07893
2019-06-01,0.07465
2019-06-02,0.07997
2019-06-03,0.08424
2019-06-04,0.07992
2019-06-05,0.07744
2019-06-06,0.07153
2019-06-07,0.07844
2019-06-08,0.07966
2019-06-09,0.08784
2019-06-10,0.09168
2019-06-11,0.08539
2019-06-12,0.08771
2019-06-13,0.08403
2019-06-14,0.07407
2019-06-15,0.06903
2019-06-16,0.07235
2019-06-17,0.0837
2019-06-18,0.08932
2019-06-19,0.0927
2019-06-20,0.08554
2019-06-21,0.08312
2019-06-22,0.07402
2019-06-23,0.07849
2019-06-24,0.07839
2019-06-25,0.08097
2019-06-26,0.08776
2019-06-27,0.08868
2019-06-28,0.08303
2019-06-29,0.07008
2019-06-30,0.07088
2019-07-01,0.0666
2019-07-02,0.06121
2019-07-03,0.06382
2019-07-04,0.0619
2019-07-05,0.0585
2019-07-06,0.06881
2019-07-07,0.06854
2019-07-08,0.06348
2019-07-09,0.06835
2019-07-10,0.06129
2019-07-11,0.05932
2019-07-12,0.06072
2019-07-13,0.05321
2019-07-14,0.07631
2019-07-15,0.06505
2019-07-16,0.06395
2019-07-17,0.07542
2019-07-18,0.06484
2019-07-19,0.06053
2019-07-20,0.05598
2019-07-21,0.06152
2019-07-22,0.05708
2019-07-23,0.06007
2019-07-24,0.06464
2019-07-25,0.06007
2019-07-26,0.05851
2019-07-27,0.05648
2019-07-28,0.06185
2019-07-29,0.05975
2019-07-30,0.06584
2019-07-31,0.06313
2019-08-01,0.05825
2019-08-02,0.05656
2019-08-03,0.05899
2019-08-04,0.09525
2019-08-05,0.06678
2019-08-06,0.0766
2019-08-07,0.06735
2019-08-08,0.0631
2019-08-09,0.08293
2019-08-10,0.06242
2019-08-11,0.0701
2019-08-12,0.06129
2019-08-13,0.06136
2019-08-14,0.07253
2019-08-15,0.07548
2019-08-16,0.06228
2019-08-17,0.05909
2019-08-18,0.08897
2019-08-19,0.06405
2019-08-20,0.06362
2019-08-21,0.06175
2019-08-22,0.06287
2019-08-23,0.06164
2019-08-24,0.05564
2019-08-25,0.06344
2019-08-26,0.06104
2019-08-27,0.07654
2019-08-28,0.30568
2019-08-29,0.0735
2019-08-30,0.06448
2019-08-31,0.05212
2019-09-01,0.0665
2019-09-02,0.05607
2019-09-03,0.05968
2019-09-04,0.05866
2019-09-05,0.05311
2019-09-06,0.05474
2019-09-07,0.05027
2019-09-08,0.09218
2019-09-09,0.0652
2019-09-10,0.05889
2019-09-11,0.05133
2019-09-12,0.05055
2019-09-13,0.05368
2019-09-14,0.0619
2019-09-15,0.06578
2019-09-16,0.06709
2019-09-17,0.09181
2019-09-18,5.92957
2019-09-19,0.562
2019-09-20,0.13576
2019-09-21,0.09692
2019-09-22,0.09252
2019-09-23,0.07545
2019-09-24,0.06896
2019-09-25,0.06873
2019-09-26,0.08043
2019-09-27,0.07378
2019-09-28,0.06671
2019-09-29,0.07524
2019-09-30,0.07231
2019-10-01,0.07105
2019-10-02,0.07023
2019-10-03,0.06648
2019-10-04,0.09684
2019-10-05,0.07514
2019-10-06,0.0788
2019-10-07,0.07179
2019-10-08,0.07798
2019-10-09,0.08639
2019-10-10,0.09319
2019-10-11,0.07387
2019-10-12,0.07512
2019-10-13,0.07665
2019-10-14,0.07826
2019-10-15,0.08257
2019-10-16,0.08965
2019-10-17,0.11904
2019-10-18,0.0995
2019-10-19,0.0941
