,국가,확진자,사망자,완치,사망률,완치율
,,,,,(%),(%)
,중국,"80,796","3,169","62,876",3.9,77.8
,,,,,,
,이탈리아,"15,113","1,016","1,258",6.7,8.3
,,,,,,
,이란,"10,075",429,"3,276",4.3,32.5
,한국,"7,979",68,510,0.9,6.4
,,,,,,
,스페인,"3,146",86,189,2.7,6
,,,,,,
,프랑스,"2,876",61,12,2.1,0.4
,,,,,,
,독일,"2,745",6,25,0.2,0.9
,,,,,,
,미국,"1,725",41,30,2.4,1.7
,,,,,,
,스위스,868,7,4,0.8,0.5
,,,,,,
,노르웨이,800,1,1,0.1,0.1
,,,,,,
,일본크루즈,696,7,325,1,46.7
,일본,691,19,118,2.7,17.1
,,,,,,
,스웨덴,687,1,1,0.1,0.1
,,,,,,
,덴마크,674,0,1,-,0.1
,,,,,,
,네덜란드,614,5,2,0.8,0.3
,영국,590,10,18,1.7,3.1
,벨기에,399,3,1,0.8,0.3
,오스트리아,361,1,4,0.3,1.1
,,,,,,
,카타르,262,0,0,-,-
,바레인,197,0,35,-,17.8
,,,,,,
,싱가포르,187,0,96,-,51.3
,말레이시아,158,0,26,-,16.5
,호주,156,3,26,1.9,16.7
,캐나다,142,1,11,0.7,7.7
,,,,,,
,홍콩,129,3,67,2.3,51.9
,그리스,117,1,0,0.9,-
,,,,,,
,체코,113,0,0,-,-
,,,,,,
,이스라엘,109,0,4,-,3.7
,,,,,,
,아이슬란드,109,0,0,-,-
,,,,,,
,핀란드,109,0,1,-,0.9
,슬로베니아,96,0,0,-,-
,,,,,,
,아랍에미레이트,85,0,20,-,23.5
,,,,,,
,이라크,83,8,24,9.6,28.9
,,,,,,
,쿠웨이트,80,0,5,-,6.3
,이집트,80,2,27,2.5,33.8
,,,,,,
,포르투갈,78,0,1,-,1.3
,,,,,,
,브라질,77,0,0,-,-
,,,,,,
,인도,74,1,4,1.4,5.4
,,,,,,
,산마리노,72,5,0,6.9,-
,,,,,,
,태국,70,1,35,1.4,50
,아일랜드,70,1,0,1.4,-
,,,,,,
,레바논,68,3,1,4.4,1.5
,루마니아,59,0,6,-,10.2
,,,,,,
,필리핀,52,2,2,3.8,3.8
,폴란드,51,1,0,2,-
,,,,,,
,대만,49,1,20,2,40.8
,사우디아라비아,45,0,1,-,2.2
,베트남,39,0,16,-,41
,러시아,34,0,3,-,8.8
,,,,,,
,인도네시아,34,1,3,2.9,8.8
,칠레,33,0,0,-,-
,,,,,,
,팔레스타인,31,0,0,-,-
,아르헨티나,30,1,0,3.3,-
,,,,,,
,크로아티아,27,0,1,-,3.7
,,,,,,
,에스토니아,27,0,0,-,-
,,,,,,
,알제리,26,2,10,7.7,38.5
,,,,,,
,룩셈부르크,26,0,0,-,-
,,,,,,
,조지아,25,0,0,-,-
,브루나이,25,0,0,-,-
,세르비아,24,0,0,-,-
,,,,,,
,코스타리카,23,0,0,-,-
,,,,,,
,불가리아,23,1,0,4.3,-
,,,,,,
,알바니아,23,1,0,4.3,-
,페루,22,0,0,-,-
,,,,,,
,파키스탄,21,0,2,-,9.5
,벨라루스,21,0,3,-,14.3
,,,,,,
,슬로바키아,21,0,0,-,-
,,,,,,
,오만,18,0,9,-,50
,에콰도르,17,0,0,-,-
,남아프리카 공화국,17,0,0,-,-
,라트비아,16,0,1,-,6.3
,헝가리,16,0,0,-,-
,아제르바이잔,15,1,3,6.7,20
,,,,,,
,파나마,14,1,0,7.1,-
,튀니지,13,0,0,-,-
,,,,,,
,멕시코,12,0,4,-,33.3
,보스니아 헤르체고비나,11,0,0,-,-
,마카오,10,0,10,-,100
,세네갈,10,0,1,-,10
,,,,,,
,키프로스,10,0,0,-,-
,,,,,,
,북마케도니아,9,0,1,-,11.1
,콜롬비아,9,0,0,-,-
,몰타 공화국,9,0,0,-,-
,몰디브,8,0,0,-,-
,아프가니스탄,7,1,2,14.3,28.6
,아르메니아,6,0,0,-,-
,,,,,,
,모로코,6,1,0,16.7,-
,몰도바,6,0,0,-,-
,,,,,,
,프랑스령 기아나,6,0,0,-,-
,뉴질랜드,5,0,0,-,-
,캄보디아,5,0,1,-,20
,도미니카 공화국,5,0,0,-,-
,파라과이,5,0,0,-,-
,가이아나,5,1,0,20,-
,리히텐슈타인,4,0,0,-,-
,스리랑카,3,0,1,-,33.3
,,,,,,
,리투아니아,3,0,0,-,-
,우크라이나,3,0,0,-,-
,,,,,,
,방글라데시,3,0,0,-,-
,마르티니크,3,0,0,-,-
,볼리비아,3,0,0,-,-
,,,,,,
,쿠바,3,0,0,-,-
,나이지리아,2,0,0,-,-
,페로 제도,2,0,0,-,-
,카메룬,2,0,0,-,-
,부르키나파소,2,0,0,-,-
,자메이카,2,0,0,-,-
,온두라스,2,0,0,-,-
,네팔,1,0,1,-,100
,모나코,1,0,0,-,-
,요르단,1,0,0,-,-
,안도라,1,0,0,-,-
,지브롤터,1,0,1,-,100
,부탄,1,0,0,-,-
,바티칸 시국,1,0,0,-,-
,토고,1,0,0,-,-
,몽골,1,0,0,-,-
,콩고민주공화국,1,0,0,-,-
,터키,1,0,0,-,-
