일자,누적확진자,발생확진자
2020. 2. 10.,27,2
2020. 2. 11.,28,1
2020. 2. 12.,28,0
2020. 2. 13.,28,0
2020. 2. 14.,28,0
2020. 2. 15.,28,0
2020. 2. 16.,29,1
2020. 2. 17.,30,1
2020. 2. 18.,31,1
2020. 2. 19.,46,15
2020. 2. 20.,83,37
2020. 2. 21.,156,73
2020. 2. 22.,346,190
2020. 2. 23.,556,210
2020. 2. 24.,763,207
2020. 2. 25.,893,130
2020. 2. 26.,1146,253
2020. 2. 27.,1595,449
2020. 2. 28.,2022,427
2020. 2. 29.,2931,909
2020. 3. 1.,3526,595
2020. 3. 2.,4212,686
2020. 3. 3.,4812,600
2020. 3. 4.,5328,516
2020. 3. 5.,5766,438
2020. 3. 6.,6284,518
2020. 3. 7.,6767,483
2020. 3. 8.,7134,367
2020. 3. 9.,7382,248
2020. 3. 10.,7513,131
2020. 3. 11.,7755,242
2020. 3. 12.,7869,114
2020. 3. 13.,7979,110
2020. 3. 14.,8086,107
2020. 3. 15.,8162,76
2020. 3. 16.,8236,74
2020. 3. 17.,8320,84
2020. 3. 18.,8413,93
